Time[s],Spin Rate DPS,Lat Accel Mag,Accel Z,Accel2 Z,Vel m/s,Alt m,Z Gyro Degs,Z Gyro2 Degs,Tilt Degs,Tilt2 Degs,EWMA Euler Tilt Bearing,EWMA Euler Tilt Bearing2,Motor Pos Setpoint Degs,Motor Pos Error Degs
Pre-Launch Roll Pitch and Tilt Degs From Accel:,,,,,-0.92,7.68,7.74
Gyro Zero Rate Offset:,,,,,-0.001430, -0.008997, 0.001167, 
Gyro2 Zero Rate Offset:,,,,,0.006854, 0.006781, -0.006190, 

0.005202,-0.05,0.135,0.991,0.975,0.20,0.0,0,0,7.7,7.0,0.00,0.00,0.000,6.258
0.035206,-4.65,0.130,0.996,0.968,0.20,0.0,0,0,7.7,7.0,0.00,0.00,0.297,4.750
0.065212,3.00,0.139,0.997,0.985,0.20,0.0,0,0,7.7,7.0,0.00,0.00,0.253,3.252
0.095216,-2.00,0.135,0.989,0.973,0.20,0.0,0,0,7.7,7.0,0.00,0.00,-0.443,2.081
0.125221,1.30,0.131,0.992,0.977,0.20,0.0,0,0,7.7,7.0,0.00,0.00,-0.023,1.363
0.155227,1.60,0.141,0.993,0.973,0.20,0.0,0,0,7.7,7.0,0.00,0.00,0.179,0.606
0.185232,-1.20,0.129,0.993,0.974,0.20,0.0,0,0,7.7,7.0,0.00,0.00,0.016,0.032
0.215240,-1.60,0.137,0.991,0.974,0.20,0.0,0,0,7.7,7.0,0.00,0.00,-0.171,-0.264
0.245245,0.85,0.136,0.992,0.974,0.20,0.0,0,0,7.7,7.0,-0.10,0.10,0.167,-0.175
0.275248,1.10,0.133,0.994,0.983,0.20,0.0,0,0,7.7,7.0,-0.20,0.10,0.460,0.044
0.305254,-1.40,0.138,0.993,0.980,0.20,0.0,0,0,7.7,7.0,-0.30,0.20,0.283,0.112
0.335264,-1.30,0.133,0.992,0.974,0.20,0.0,0,0,7.7,7.0,-0.40,0.20,0.231,0.228
0.365264,1.10,0.134,0.991,0.973,0.20,0.0,0,0,7.7,7.0,-0.50,0.30,0.526,0.206
0.395270,0.90,0.139,0.993,0.974,0.20,0.1,0,0,7.7,7.0,-0.60,0.30,0.823,0.356
0.425275,-0.75,0.131,0.992,0.970,0.20,0.1,0,0,7.7,7.0,-0.70,0.40,0.700,0.489
0.455278,-0.85,0.137,0.991,0.971,0.20,0.1,0,0,7.7,7.0,-0.80,0.50,0.582,0.533
0.485284,1.35,0.135,0.993,0.977,0.20,0.1,0,0,7.7,7.0,-0.90,0.50,1.044,0.640
0.515290,1.55,0.130,0.992,0.980,0.20,0.1,0,0,7.7,7.0,-1.00,0.60,1.109,0.516
0.545295,-1.40,0.142,0.992,0.974,0.20,0.1,0,0,7.7,7.0,-1.10,0.60,0.989,0.618
0.575301,-0.75,0.129,0.991,0.976,0.20,0.1,0,0,7.7,7.0,-1.10,0.70,1.036,0.662
0.605306,1.20,0.135,0.992,0.975,0.20,0.1,0,0,7.7,7.0,-1.20,0.70,1.300,0.569
0.635313,0.15,0.136,0.992,0.976,0.20,0.1,0,0,7.7,7.0,-1.30,0.80,1.426,0.477
0.665314,-1.15,0.129,0.992,0.983,0.10,0.1,0,0,7.7,7.0,-1.40,0.80,1.342,0.301
0.695318,-0.15,0.141,0.992,0.975,0.10,0.1,0,0,7.7,7.0,-1.50,0.90,1.395,0.031
0.725323,0.60,0.129,0.991,0.983,0.10,0.1,0,0,7.7,7.0,-1.50,0.90,1.603,-0.092
0.755329,-0.55,0.136,0.994,0.979,0.10,0.1,0,0,7.7,7.0,-1.60,1.00,1.793,-0.080
0.785332,-0.60,0.138,0.993,0.981,0.10,0.1,0,0,7.7,7.0,-1.70,1.00,1.689,-0.131
0.815336,1.35,0.132,0.998,0.981,0.10,0.1,0,0,7.7,7.0,-1.80,1.10,2.020,-0.086
0.845342,2.60,0.136,0.992,0.979,0.10,0.1,0,0,7.7,7.0,-1.90,1.10,1.865,-0.225
0.875348,-0.75,0.133,0.992,0.977,0.10,0.2,0,0,7.7,7.0,-1.90,1.20,1.989,-0.139
0.905353,-0.40,0.134,0.994,0.974,0.10,0.2,0,0,7.7,7.0,-2.00,1.20,2.068,0.027
0.935357,0.30,0.136,0.991,0.971,0.10,0.2,0,0,7.7,7.0,-2.10,1.20,2.012,-0.142
0.965362,0.95,0.133,0.992,0.977,0.10,0.2,0,0,7.7,7.0,-2.10,1.30,2.257,-0.015
0.995369,-0.65,0.133,0.991,0.977,0.10,0.2,0,0,7.7,7.0,-2.20,1.30,2.239,-0.005
1.025371,-0.60,0.135,0.992,0.971,0.10,0.2,0,0,7.7,7.0,-2.30,1.40,2.319,0.018
1.055378,1.55,0.134,0.991,0.974,0.10,0.2,0,0,7.7,7.0,-2.30,1.40,2.373,0.177
1.085383,0.00,0.133,0.985,0.966,0.10,0.2,0,0,7.7,7.0,-2.40,1.50,2.283,0.282
1.115389,-5.25,0.133,0.997,0.986,0.10,0.2,0,0,7.7,7.0,-2.50,1.50,2.549,0.690
1.145394,-2.10,0.133,0.988,0.991,0.10,0.2,0,0,7.7,7.0,-2.50,1.60,2.689,0.637
1.175399,-0.55,0.134,0.991,0.967,0.10,0.2,0,0,7.7,7.0,-2.60,1.60,2.590,0.264
1.205403,-3.30,0.139,0.996,0.966,0.10,0.2,0,0,7.7,7.0,-2.70,1.60,2.813,0.594
1.235408,-3.30,0.126,0.993,0.978,0.10,0.2,0,0,7.7,7.0,-2.70,1.70,2.852,0.516
1.265412,2.20,0.141,0.993,0.988,0.10,0.2,0,0,7.7,7.0,-2.80,1.70,2.951,0.301
1.295417,0.25,0.139,0.993,0.978,0.10,0.2,0,0,7.7,7.0,-2.90,1.70,2.779,0.413
1.325421,-6.20,0.123,0.995,0.986,0.10,0.2,0,0,7.7,7.0,-2.90,1.80,3.092,-0.208
1.355426,0.15,0.146,1.000,0.991,0.10,0.2,0,0,7.8,7.0,-3.00,1.80,2.877,-0.271
1.385430,2.95,0.133,0.993,0.977,0.00,0.2,0,0,7.7,7.0,-3.00,1.90,2.923,-0.134
1.415436,2.00,0.135,0.994,0.972,0.00,0.2,0,0,7.7,7.0,-3.10,1.90,3.036,-0.161
1.445439,-0.85,0.144,0.992,0.975,0.00,0.2,0,0,7.8,7.0,-3.20,1.90,2.983,-0.015
1.475445,-0.60,0.122,0.990,0.978,0.00,0.2,0,0,7.7,7.0,-3.20,2.00,2.948,-0.062
1.505451,1.35,0.150,0.992,0.974,0.00,0.2,0,0,7.8,7.0,-3.30,2.00,3.105,0.014
1.535454,4.50,0.134,0.998,0.974,0.00,0.2,0,0,7.7,7.0,-3.30,2.00,3.712,-0.302
1.565460,-5.60,0.135,0.994,0.973,0.00,0.2,0,0,7.7,7.0,-3.40,2.10,3.139,-0.129
1.595466,2.25,0.152,0.994,0.974,0.00,0.2,0,0,7.7,7.0,-3.40,2.10,3.229,-0.236
1.625469,6.35,0.116,0.991,0.979,0.00,0.2,0,0,7.7,7.0,-3.50,2.20,3.781,-0.206
1.655473,2.30,0.165,0.995,0.974,0.00,0.2,0,0,7.8,7.0,-3.50,2.20,4.111,0.070
1.685478,17.30,0.116,0.991,0.980,0.00,0.2,0,0,7.7,7.0,-3.60,2.20,4.882,-0.184
1.715481,27.35,0.132,0.988,0.971,0.00,0.2,1,1,7.7,7.0,-3.60,2.30,6.791,-0.099
1.745488,20.50,0.149,0.994,0.978,0.00,0.2,1,2,7.7,7.0,-3.70,2.30,7.697,0.269
1.775494,2.20,0.137,0.994,0.978,0.00,0.2,2,2,7.7,6.9,-3.70,2.30,6.556,0.739
1.805497,-1.55,0.137,0.994,0.978,0.00,0.2,2,2,7.7,7.0,-3.80,2.40,5.842,0.795
1.835501,-0.40,0.142,0.989,0.981,0.00,0.2,2,2,7.7,7.0,-3.80,2.40,5.731,0.635
1.865506,9.85,0.122,0.992,0.975,0.00,0.2,2,2,7.7,7.0,-3.90,2.40,6.566,0.542
